-94.1902846702	14.7750196144	-12	-14.9319473142
-94.1902177894	14.7750821096	-11.99	-14.9345412996
-94.1901509086	14.7751446048	-11.98	-14.9371356509
-94.1900840277	14.7752071	-11.97	-14.9397303692
-94.1900171468	14.7752695951	-11.96	-14.9423254503
-94.1899502659	14.7753320903	-11.95	-14.9449208996
-94.1898833849	14.7753945854	-11.94	-14.9475167128
-94.1898165039	14.7754570805	-11.93	-14.9501128911
-94.1897496229	14.7755195756	-11.92	-14.9527094345
-94.1896827418	14.7755820707	-11.91	-14.9553063441
-94.1896158606	14.7756445657	-11.9	-14.9579036171
-94.1895489795	14.7757070607	-11.89	-14.9605012534
-94.1894820983	14.7757695557	-11.88	-14.9630992555
-94.189415217	14.7758320507	-11.87	-14.9656976233
-94.1893483358	14.7758945457	-11.86	-14.9682963539
-94.1892814544	14.7759570407	-11.85	-14.9708954514
-94.1892145731	14.7760195356	-11.84	-14.9734949087
-94.1891476917	14.7760820305	-11.83	-14.9760947312
-94.1890808103	14.7761445254	-11.82	-14.9786949173
-94.1890139288	14.7762070203	-11.81	-14.9812954684
-94.1889470473	14.7762695151	-11.8	-14.9838963802
-94.1888801657	14.7763320099	-11.79	-14.9864976566
-94.1888132841	14.7763945048	-11.78	-14.9890992989
-94.1887464025	14.7764569996	-11.77	-14.9917013014
-94.1886795208	14.7765194943	-11.76	-14.9943036655
-94.1886126391	14.7765819891	-11.75	-14.9969063951
-94.1885457574	14.7766444838	-11.74	-14.9995094845
-94.1884788756	14.7767069785	-11.73	-15.0021129378
-94.1884119938	14.7767694732	-11.72	-15.0047167534
-94.1883451119	14.7768319679	-11.71	-15.0073209325
-94.18827823	14.7768944626	-11.7	-15.0099254738
-94.1882113481	14.7769569572	-11.69	-15.0125303743
-94.1881444661	14.7770194518	-11.68	-15.0151356379
-94.1880775841	14.7770819464	-11.67	-15.0177412633
-94.1880107021	14.777144441	-11.66	-15.0203472501
-94.18794382	14.7772069356	-11.65	-15.0229535997
-94.1878769379	14.7772694301	-11.64	-15.0255603079
-94.1878100557	14.7773319247	-11.63	-15.0281673813
-94.1877431735	14.7773944192	-11.62	-15.030774813
-94.1876762913	14.7774569137	-11.61	-15.0333826056
-94.187609409	14.7775194081	-11.6	-15.0359907577
-94.1875425267	14.7775819026	-11.59	-15.0385992729
-94.1874756443	14.777644397	-11.58	-15.0412081474
-94.1874087619	14.7777068914	-11.57	-15.0438173822
-94.1873418795	14.7777693858	-11.56	-15.0464269772
-94.187274997	14.7778318802	-11.55	-15.0490369337
-94.1872081145	14.7778943745	-11.54	-15.0516472474
-94.1871412319	14.7779568689	-11.53	-15.054257925
-94.1870743493	14.7780193632	-11.52	-15.0568689595
-94.1870074667	14.7780818575	-11.51	-15.0594803536
-94.1869405841	14.7781443517	-11.5	-15.0620921044
-94.1868737014	14.778206846	-11.49	-15.0647042186
-94.1868068186	14.7782693402	-11.48	-15.0673166906
-94.1867399358	14.7783318345	-11.47	-15.0699295243
-94.186673053	14.7783943287	-11.46	-15.0725427142
-94.1866061702	14.7784568228	-11.45	-15.0751562602
-94.1865392873	14.778519317	-11.44	-15.0777701688
-94.1864724043	14.7785818111	-11.43	-15.0803844346
-94.1864055213	14.7786443053	-11.42	-15.0829990615
-94.1863386383	14.7787067994	-11.41	-15.0856140439
-94.1862717553	14.7787692934	-11.4	-15.0882293817
-94.1862048722	14.7788317875	-11.39	-15.0908450815
-94.1861379891	14.7788942816	-11.38	-15.0934611391
-94.1860711059	14.7789567756	-11.37	-15.0960775531
-94.1860042227	14.7790192696	-11.36	-15.0986943247
-94.1859373395	14.7790817636	-11.35	-15.1013114537
-94.1858704562	14.7791442575	-11.34	-15.1039289387
-94.1858035729	14.7792067515	-11.33	-15.1065467835
-94.1857366895	14.7792692454	-11.32	-15.1091649841
-94.1856698061	14.7793317393	-11.31	-15.1117835416
-94.1856029227	14.7793942332	-11.3	-15.1144024558
-94.1855360392	14.7794567271	-11.29	-15.117021728
-94.1854691557	14.7795192209	-11.28	-15.1196413541
-94.1854022721	14.7795817148	-11.27	-15.1222613406
-94.1853353885	14.7796442086	-11.26	-15.1248816807
-94.1852685049	14.7797067024	-11.25	-15.1275023769
-94.1852016212	14.7797691962	-11.24	-15.1301234304
-94.1851347375	14.7798316899	-11.23	-15.1327448371
-94.1850678538	14.7798941836	-11.22	-15.1353665995
-94.18500097	14.7799566774	-11.21	-15.1379887215
-94.1849340862	14.7800191711	-11.2	-15.1406111967
-94.1848672023	14.7800816647	-11.19	-15.1432340321
-94.1848003184	14.7801441584	-11.18	-15.1458572333
-94.1847334345	14.780206652	-11.17	-15.148480795
-94.1846665505	14.7802691457	-11.16	-15.1511047237
-94.1845996665	14.7803316393	-11.15	-15.1537290125
-94.1845327825	14.7803941328	-11.14	-15.1563536614
-94.1844658984	14.7804566264	-11.13	-15.158978677
-94.1843990143	14.7805191199	-11.12	-15.1616040524
-94.1843321301	14.7805816135	-11.11	-15.1642297942
-94.1842652459	14.780644107	-11.1	-15.1668558955
-94.1841983616	14.7807066005	-11.09	-15.1694823603
-94.1841314774	14.7807690939	-11.08	-15.1721091829
-94.184064593	14.7808315874	-11.07	-15.1747363729
-94.1839977087	14.7808940808	-11.06	-15.1773639205
-94.1839308243	14.7809565742	-11.05	-15.179991831
-94.1838639398	14.7810190676	-11.04	-15.1826201045
-94.1837970554	14.781081561	-11.03	-15.1852487378
-94.1837301709	14.7811440543	-11.02	-15.1878777311
-94.1836632863	14.7812065477	-11.01	-15.1905070895
