Region_name Time_period Cluseter_id Lon(deg) Lat(deg) Depth(km) Magnitude Year Month Day Hour Minute Second
CENTRAL_CHILE3 1995-1999 cluster_4 287.894 -31.53000 10 4.7 1995 6 6 7 1 44.8700
CENTRAL_CHILE3 1995-1999 cluster_4 288.005 -31.63500 33 4.7 1995 6 6 8 24 17.9500
CENTRAL_CHILE3 1995-1999 cluster_4 287.953 -31.40900 33 4.6 1995 7 18 4 36 28.5600
CENTRAL_CHILE3 1995-1999 cluster_4 287.797 -31.57100 10 4.5 1995 8 31 6 31 47.9900
CENTRAL_CHILE4 1995-1999 cluster_2 288.702 -29.51000 50 4.9 1996 11 17 1 50 2.0900
CENTRAL_CHILE4 1995-1999 cluster_2 288.425 -29.94000 39.3 4.8 1997 1 4 11 21 45.2300
CENTRAL_CHILE4 1995-1999 cluster_2 288.598 -29.80900 33 4.7 1997 1 26 11 22 34.6700
CENTRAL_CHILE4 1995-1999 cluster_2 288.853 -29.81500 33 6.2 1997 3 9 11 43 43.2600
CENTRAL_CHILE4 1995-1999 cluster_2 288.856 -29.68100 33 5.6 1997 3 10 3 53 0.3300
CENTRAL_CHILE4 1995-1999 cluster_2 288.706 -29.75800 60 4.5 1997 3 12 12 8 14.8300
NICARAGUA 1995-1999 cluster_1 271.286 12.21700 33 4.6 1996 11 24 12 42 36.7400
NICARAGUA 1995-1999 cluster_1 271.074 12.51100 33 5.6 1996 12 10 16 3 2.6000
NICARAGUA 1995-1999 cluster_1 271.211 12.72700 33 5.7 1996 12 14 21 15 35.5300
NICARAGUA 1995-1999 cluster_1 271.115 12.62400 33 4.8 1996 12 17 10 30 1.7300
NICARAGUA 1995-1999 cluster_1 271.138 12.63800 33 4.8 1996 12 17 17 12 22.3500
NICARAGUA 1995-1999 cluster_1 271.077 12.47300 33 5.6 1996 12 17 20 20 33.3700
NICARAGUA 1995-1999 cluster_1 270.867 12.77500 25.3 4.6 1996 12 18 7 10 36.1400
NICARAGUA 1995-1999 cluster_1 271.101 11.99100 33 4.5 1996 12 19 13 44 45.2500
NICARAGUA 1995-1999 cluster_1 270.947 12.49000 50 4.9 1997 1 4 3 36 5.0500
NICARAGUA 1995-1999 cluster_1 271.118 12.69000 56.6 5. 1997 1 4 18 44 55.9000
NICARAGUA 1995-1999 cluster_1 271.093 12.38300 54 4.6 1997 1 8 23 15 54.4300
NICARAGUA 1995-1999 cluster_1 271.161 12.42300 33 4.7 1997 1 8 23 20 41.6500
NICARAGUA 1995-1999 cluster_2 272.035 12.10000 33 4.8 1995 5 13 17 31 19.6600
NICARAGUA 1995-1999 cluster_2 272.065 12.13600 51.7 4.9 1995 5 21 17 6 32.8700
NICARAGUA 1995-1999 cluster_2 271.32 12.37100 33 4.5 1995 6 13 12 13 25.7600
NICARAGUA 1995-1999 cluster_2 271.64 12.12800 25 5.7 1995 6 14 11 11 47.4000
NICARAGUA 1995-1999 cluster_2 271.661 12.11700 33 5.6 1995 6 14 11 15 4.2500
NICARAGUA 1995-1999 cluster_2 271.654 12.08600 15.5 4.7 1995 6 14 23 10 16.9300
NICARAGUA 1995-1999 cluster_2 271.508 11.98100 33 4.5 1995 6 15 2 47 19.9200
NICARAGUA 1995-1999 cluster_2 271.909 11.82600 33 4.5 1995 6 23 20 38 9.6300
NICARAGUA 1995-1999 cluster_2 271.726 12.03100 33 4.7 1995 7 20 19 30 0.3500
NICARAGUA 1995-1999 cluster_3 273.386 12.23400 10 5.2 1999 8 5 4 35 49.3200
NICARAGUA 1995-1999 cluster_3 273.283 12.56300 10 4.5 1999 8 5 4 50 55.1900
NICARAGUA 1995-1999 cluster_3 273.128 12.53000 10 4.5 1999 8 5 5 39 45.8200
NICARAGUA 1995-1999 cluster_3 273.308 12.62900 10 4.5 1999 8 5 5 56 12.7900
NICARAGUA 1995-1999 cluster_3 273.276 12.34300 10 5.1 1999 8 5 7 11 15.7400
NICARAGUA 1995-1999 cluster_3 273.351 12.52500 10 4.5 1999 8 5 9 20 28.8700
NICARAGUA 1995-1999 cluster_3 273.34 12.60600 10 5.2 1999 8 6 18 53 18.0400
NICARAGUA 1995-1999 cluster_3 273.447 12.14000 10 4.5 1999 8 7 7 42 45.9200
NICARAGUA 1995-1999 cluster_3 273.215 12.28400 114.9 4.5 1999 8 25 8 32 27.4100
GUATEMALA 1995-1999 cluster_1 265.747 14.94300 12.4 6. 1995 9 6 22 48 49.6000
GUATEMALA 1995-1999 cluster_1 265.739 14.87300 17.5 5.3 1995 9 8 17 25 47.1200
GUATEMALA 1995-1999 cluster_1 265.643 14.85800 33 5. 1995 9 9 22 8 30.5600
GUATEMALA 1995-1999 cluster_1 265.671 14.73300 33 4.6 1995 9 10 0 26 14.0800
GUATEMALA 1995-1999 cluster_1 265.721 14.76000 33 4.6 1995 9 10 3 12 5.3300
GUATEMALA 1995-1999 cluster_1 265.822 14.93600 33 5.4 1995 9 10 6 2 58.8500
GUATEMALA 1995-1999 cluster_1 265.718 14.75000 33 4.7 1995 9 15 17 6 27.3000
GUATEMALA 1995-1999 cluster_2 267.065 14.25300 33 4.5 1997 7 17 19 48 25.2600
GUATEMALA 1995-1999 cluster_2 266.359 14.70800 33 4.6 1997 9 16 17 52 11.0900
GUATEMALA 1995-1999 cluster_2 266.925 14.43800 33 5.6 1997 9 22 12 6 28.4900
GUATEMALA 1995-1999 cluster_2 267.029 14.37600 33 4.8 1997 9 22 13 20 29.5800
GUATEMALA 1995-1999 cluster_2 266.946 14.52600 33 4.8 1997 9 22 16 28 50.3700
GUATEMALA 1995-1999 cluster_2 266.863 14.46400 38 5.3 1997 9 29 17 16 31.0900
GUATEMALA 1995-1999 cluster_2 266.624 14.18300 33 4.5 1997 9 30 13 27 0.1600
GUATEMALA 1995-1999 cluster_2 266.892 14.36800 33 4.5 1997 10 3 19 50 28.6400
GUATEMALA 1995-1999 cluster_2 266.281 14.62300 33 4.5 1997 10 8 17 0 5.7600
GUATEMALA 1995-1999 cluster_2 266.642 14.84100 33 4.7 1997 11 29 9 24 50.9800
GUATEMALA 1995-1999 cluster_2 266.073 14.93600 33 4.9 1998 1 3 0 19 21.1900
GUATEMALA 1995-1999 cluster_2 266.314 14.83300 33 4.7 1998 2 22 23 16 46.1700
MEXICO2 1995-1999 cluster_1 261.93 15.97800 21.1 7.1 1996 2 25 3 8 15.8700
MEXICO2 1995-1999 cluster_1 261.967 16.00900 33 4.6 1996 2 25 3 20 30.3300
MEXICO2 1995-1999 cluster_1 262.08 15.96300 33 5.1 1996 2 25 4 17 9.3900
MEXICO2 1995-1999 cluster_1 262.066 15.89600 33 4.8 1996 2 25 5 34 27.5300
MEXICO2 1995-1999 cluster_1 261.84 15.99700 20 4.6 1996 2 25 5 40 26.9500
MEXICO2 1995-1999 cluster_1 262.07 16.12200 12.3 6.2 1996 2 25 9 17 57.0400
ALEUTIAN2 1995-1999 cluster_1 191.357 52.37900 33 5.9 1998 1 23 9 20 8.2800
ALEUTIAN2 1995-1999 cluster_1 191.332 52.30800 33 5.2 1998 1 23 9 25 23.2400
ALEUTIAN2 1995-1999 cluster_1 191.433 52.32500 33 4.9 1998 1 23 9 37 47.9000
ALEUTIAN2 1995-1999 cluster_1 191.482 52.49100 33 4.6 1998 1 23 10 48 1.6000
ALEUTIAN2 1995-1999 cluster_1 191.385 52.32800 33 5.4 1998 1 23 12 27 54.9500
ALEUTIAN2 1995-1999 cluster_1 191.386 52.26100 33 5.3 1998 1 23 13 43 32.4600
ALEUTIAN2 1995-1999 cluster_2 191.276 52.16600 33 5.1 1996 3 26 21 25 41.4600
ALEUTIAN2 1995-1999 cluster_2 191.415 52.43200 33 4.6 1996 3 27 9 1 27.1500
ALEUTIAN2 1995-1999 cluster_2 191.267 52.38300 33 5. 1996 3 27 14 56 52.0500
ALEUTIAN2 1995-1999 cluster_2 191.328 52.29800 33 5.1 1996 3 27 15 38 45.8700
ALEUTIAN2 1995-1999 cluster_2 191.332 52.31800 33 5.3 1996 3 28 1 48 22.8500
ALEUTIAN2 1995-1999 cluster_2 191.258 52.24500 33 5.2 1996 3 28 1 56 18.7100
ALEUTIAN2 1995-1999 cluster_2 191.419 52.44900 33 5.2 1996 3 28 11 26 22.0600
ALEUTIAN2 1995-1999 cluster_2 191.428 52.39300 33 5.1 1996 3 28 12 3 10.3700
ALEUTIAN2 1995-1999 cluster_2 191.454 52.42300 33 4.6 1996 3 28 12 54 9.5900
ALEUTIAN2 1995-1999 cluster_3 193.913 54.23100 5 5.1 1996 3 11 6 10 18.0800
ALEUTIAN2 1995-1999 cluster_3 193.923 54.26900 5 4.7 1996 3 11 7 9 55.5300
ALEUTIAN2 1995-1999 cluster_3 194.005 54.18000 5 4.5 1996 3 11 8 30 48.3500
ALEUTIAN2 1995-1999 cluster_3 193.893 54.20400 5 4.6 1996 3 11 8 52 44.5800
ALEUTIAN2 1995-1999 cluster_3 193.731 54.13400 5 4.5 1996 3 11 12 30 34.8700
ALEUTIAN2 1995-1999 cluster_3 194.033 54.18400 5 4.8 1996 3 12 2 6 22.2500
